dt,risk 1% · breaker 4%,risk 1% · breaker 8%,risk 1% · breaker 10%,risk 1% · breaker off,risk 2% · breaker 4%,risk 2% · breaker 8%,risk 2% · breaker 10%,risk 2% · breaker off,risk 3% · breaker 4%,risk 3% · breaker 8%,risk 3% · breaker 10%,risk 3% · breaker off,risk 4% · breaker 4%,risk 4% · breaker 8%,risk 4% · breaker 10%,risk 4% · breaker off,risk 5% · breaker 4%,risk 5% · breaker 8%,risk 5% · breaker 10%,risk 5% · breaker off
2020-06,-0.004377451308983815,-0.004377451308983815,-0.004377451308983815,-0.004377451308983815,-0.009111132863455662,-0.009111132863455662,-0.009111132863455662,-0.009111132863455662,-0.014193298367852214,-0.014193298367852214,-0.014193298367852214,-0.014193298367852214,-0.019616227070595182,-0.019616227070595182,-0.019616227070595182,-0.019616227070595182,-0.025372223764104862,-0.025372223764104862,-0.025372223764104862,-0.025372223764104862
2020-07,0.02036643318209097,0.02036643318209097,0.02036643318209097,0.02036643318209097,0.0399924349120373,0.0399924349120373,0.0399924349120373,0.0399924349120373,0.0588827275726731,0.0588827275726731,0.0588827275726731,0.0588827275726731,0.07667906773685562,0.07704205153629906,0.07704205153629906,0.07704205153629906,0.10560178365623374,0.08497642761651059,0.08497642761651059,0.08497642761651059
2020-08,-0.007863670175160764,-0.007863670175160764,-0.007863670175160764,-0.007863670175160764,-0.015701247894821968,-0.015701247894821968,-0.015701247894821968,-0.015701247894821968,-0.023512733158982724,-0.023512733158982724,-0.023512733158982724,-0.023512733158982724,-0.03129812596764414,-0.03129812596764403,-0.03129812596764403,-0.03129812596764403,-0.04544449027633102,-0.03905742632080422,-0.03905742632080422,-0.03905742632080422
2020-09,-0.014086377794252702,-0.014086377794252702,-0.014086377794252702,-0.014086377794252702,-0.02852002503100004,-0.02852002503100004,-0.02852002503100004,-0.02852002503100004,-0.04328043971259021,-0.04328043971259021,-0.04328043971259021,-0.04328043971259021,-0.07781295988418147,-0.05834735312298056,-0.05834735312298056,-0.05834735312298056,-0.10176650187602454,-0.0737007326234822,-0.0737007326234822,-0.0737007326234822
2020-10,0.021246264997585307,0.021246264997585307,0.021246264997585307,0.021246264997585307,0.041445221915751285,0.041445221915751285,0.041445221915751285,0.041445221915751285,0.060575610187001194,0.060575610187001194,0.060575610187001194,0.060575610187001194,-0.0720946374069007,0.07861793677901852,0.07861793677901852,0.07861793677901852,-0.08970885981449561,0.09555447969381237,0.09555447969381237,0.09555447969381237
2020-11,0.043061271645122634,0.043061271645122634,0.043061271645122634,0.043061271645122634,0.08659799875320351,0.08659799875320351,0.08659799875320351,0.08659799875320351,0.13056413662439614,0.13056413662439614,0.13056413662439614,0.13056413662439614,0.19392437003734675,0.17491249941983233,0.17491249941983233,0.17491249941983233,0.24438677093189232,0.2195947904044342,0.2195947904044342,0.2195947904044342
2020-12,0.031429797449476604,0.031429797449476604,0.031429797449476604,0.031429797449476604,0.0628921907149429,0.0628921907149429,0.0628921907149429,0.0628921907149429,-0.041808911358989564,0.09438560090933179,0.09438560090933179,0.09438560090933179,-0.04322325796251403,0.1259085494968344,0.1259085494968344,0.1259085494968344,-0.040680034202106974,0.15745965044492993,0.15745965044492993,0.15745965044492993
2021-01,-0.012441400231617106,-0.012441400231617106,-0.012441400231617106,-0.012441400231617106,-0.025190092198800085,-0.025190092198800085,-0.025190092198800085,-0.025190092198800085,-0.03822972506902289,-0.03822972506902267,-0.03822972506902267,-0.03822972506902267,-0.05154417117172416,-0.05154417117172305,-0.05154417117172305,-0.05154417117172305,-0.048589873303933606,-0.06511752599830345,-0.06511752599830345,-0.06511752599830345
2021-02,0.0373320263714223,0.0373320263714223,0.0373320263714223,0.0373320263714223,0.07521359701164498,0.07521359701164498,0.07521359701164498,0.07521359701164498,0.11363952706767844,0.11363952706767777,0.11363952706767777,0.11363952706767777,0.15260463168652882,0.1526046316865286,0.1526046316865286,0.1526046316865286,0.19210372601520742,0.1921037260152063,0.1921037260152063,0.1921037260152063
2021-03,0.018770807626953045,0.018770807626953045,0.018770807626953045,0.018770807626953045,0.03734035336392538,0.03734035336392538,0.03734035336392538,0.03734035336392538,0.055695190963278796,0.05569519096327924,0.05569519096327924,0.05569519096327924,0.07382174720233103,0.07382174720233192,0.07382174720233192,0.07382174720233192,0.09170632038099957,0.0917063203809998,0.0917063203809998,0.0917063203809998
