entry_dt,entry_px,sl,tp1,kind,exit_dt,exit_px,reason,pnl_pct,tp1_hit,tp1_dt,tp1_px
2023-07-04 08:00,30911.4,30083.160479212536,31739.639520787467,fresh regime,2023-07-06 12:00,30083.160479212536,initial stop,-2.757239192871097,False,,
2023-07-09 16:00,30349.47,29719.49256734932,30979.447432650682,pullback resume,2023-07-11 08:00,30349.47,breakeven/trail stop,0.9570580826145703,True,2023-07-10 20:00:00+00:00,30979.447432650682
2023-07-13 12:00,30543.99,29864.930175577218,31223.049824422786,pullback resume,2023-07-14 16:00,30543.99,breakeven/trail stop,1.0307364481353387,True,2023-07-13 16:00:00+00:00,31223.049824422786
2023-07-19 00:00,29859.14,29142.58285043642,30575.697149563577,fresh regime,2023-07-20 00:00,29909.21,regime off,0.08756922494619346,False,,
2023-07-20 04:00,29948.0,29288.530777605716,30607.469222394284,fresh regime,2023-07-20 16:00,29810.17,regime off,-0.5398469559663499,False,,
2023-09-30 16:00,26996.29,26437.63890003229,27554.941099967713,fresh regime,2023-10-02 20:00,27380.75097959203,breakeven/trail stop,1.6653627509684021,True,2023-10-01 20:00:00+00:00,27554.941099967713
2023-10-04 12:00,27572.43,26854.71881551899,28290.14118448101,pullback resume,2023-10-09 08:00,27572.43,breakeven/trail stop,1.2204765150275687,True,2023-10-06 20:00:00+00:00,28290.14118448101
2023-10-12 00:00,26875.52,26227.312103073447,27523.727896926554,fresh regime,2023-10-12 08:00,26810.66,regime off,-0.3211258360559799,False,,
2023-10-13 08:00,26874.99,26323.008008369234,27426.97199163077,fresh regime,2023-10-13 12:00,26820.91,regime off,-0.28105103166325973,False,,
2023-10-14 04:00,26930.77,26379.346933125777,27482.193066874224,fresh regime,2023-10-14 08:00,26868.8,regime off,-0.3099084838346644,False,,
2023-10-14 16:00,26942.56,26460.791449372206,27424.328550627797,fresh regime,2023-10-14 20:00,26864.29,regime off,-0.37025855640148153,False,,
2023-10-15 20:00,27043.75,26646.493369865275,27441.006630134725,fresh regime,2023-10-16 16:00,28064.16,breakeven/trail stop,2.538981054138767,True,2023-10-16 04:00:00+00:00,27441.006630134725
2023-10-28 00:00,33892.01,32492.685494830028,35291.33450516998,pullback resume,2023-11-03 08:00,34142.82795198297,breakeven/trail stop,2.352481066559964,True,2023-11-01 20:00:00+00:00,35291.33450516998
2023-11-03 16:00,34763.71,33481.756953079705,36045.663046920294,pullback resume,2023-11-09 16:00,35902.82391979598,breakeven/trail stop,3.3994065778664373,True,2023-11-08 20:00:00+00:00,36045.663046920294
2023-11-15 16:00,36402.43,35175.03055364757,37629.82944635243,pullback resume,2023-11-16 12:00,36402.43,breakeven/trail stop,1.6045432735628529,True,2023-11-15 20:00:00+00:00,37629.82944635243
2023-11-18 00:00,36613.91,35109.54437625803,38118.275623741974,pullback resume,2023-11-27 04:00,37084.43211030407,breakeven/trail stop,2.6147679943115287,True,2023-11-24 12:00:00+00:00,38118.275623741974
2023-11-28 16:00,37513.2,36600.69817884148,38425.70182115852,pullback resume,2023-11-30 12:00,37513.2,breakeven/trail stop,1.1352841798698554,True,2023-11-29 08:00:00+00:00,38425.70182115852
2023-11-30 20:00,37749.34,36735.91864831257,38762.761351687426,pullback resume,2023-12-11 00:00,43003.99915259282,breakeven/trail stop,8.215614072402989,True,2023-12-01 08:00:00+00:00,38762.761351687426
2023-12-13 16:00,41939.17,40158.859207095666,43719.48079290433,pullback resume,2023-12-24 20:00,42705.15551953739,breakeven/trail stop,2.953289766265743,True,2023-12-20 12:00:00+00:00,43719.48079290433
2023-12-25 16:00,43618.01,42470.71249827964,44765.30750172037,pullback resume,2023-12-26 08:00,42470.71249827964,initial stop,-2.708209926140581,False,,
2023-12-27 12:00,43019.11,41723.45444669755,44314.76555330245,pullback resume,2023-12-29 16:00,41723.45444669755,initial stop,-3.0893889741259173,False,,
2023-12-31 08:00,42537.1,41223.27264477655,43850.927355223444,pullback resume,2024-01-03 08:00,43556.36764151417,breakeven/trail stop,2.6602461685298673,True,2024-01-01 20:00:00+00:00,43850.927355223444
2024-01-04 00:00,42845.23,40650.87205920947,45039.58794079054,fresh regime,2024-01-10 12:00,44344.83080607461,breakeven/trail stop,4.227384837675796,True,2024-01-08 12:00:00+00:00,45039.58794079054
2024-01-10 20:00,46489.19,44042.27968822261,48936.100311777394,pullback resume,2024-01-11 16:00,46489.19,breakeven/trail stop,2.549609218373572,True,2024-01-11 12:00:00+00:00,48936.100311777394
2024-02-02 04:00,43037.25,41524.296685243484,44550.203314756516,fresh regime,2024-02-04 08:00,42845.03,regime off,-0.526263106483793,False,,
2024-02-04 12:00,43060.09,42034.725786934236,44085.45421306576,fresh regime,2024-02-04 20:00,42636.43,regime off,-1.0630779503043142,False,,
2024-02-05 08:00,43071.87,41980.30636991502,44163.43363008498,fresh regime,2024-02-05 16:00,42644.04,regime off,-1.0724828268510178,False,,
2024-02-06 04:00,42851.1,41713.874863607525,43988.32513639247,fresh regime,2024-02-06 12:00,42826.96,regime off,-0.13627355117230566,False,,
2024-02-06 16:00,43244.89,42110.42841120472,44379.35158879528,fresh regime,2024-02-07 04:00,42799.99,regime off,-1.1079532032607808,False,,
2024-02-07 08:00,42918.02,41860.0757127868,43975.964287213195,fresh regime,2024-02-23 20:00,50569.58273286994,breakeven/trail stop,10.05857878550156,True,2024-02-07 20:00:00+00:00,43975.964287213195
