dt,equity
2020-06,-0.07539626548394951
2020-07,0.5931718785508209
2020-08,-0.08179424523706624
2020-09,-0.04600331562620452
2020-10,0.9388218379651752
2020-11,-0.06558705410894394
2020-12,-0.15266805399982386
2021-01,-0.06341810140128434
2021-02,0.4989436371590492
2021-03,0.15956893941160843
2021-04,-0.06786099034127324
2021-05,-0.04094882142555145
2021-06,-0.00960925914486932
2021-07,0.146370053289977
2021-08,-0.045955818837795426
2021-09,-0.053160854668168445
2021-10,-0.07292376864582861
2021-11,-0.06554388351088658
2021-12,0.07195205607115485
2022-01,0.10369882523124518
2022-02,-0.08760202844632836
2022-03,-0.09005715120484148
2022-04,-0.040773017656583144
2022-05,0.04477842105275531
2022-06,0.11893940520942259
2022-07,-0.09462238097585818
2022-08,-0.04695822827421925
2022-09,-0.044217608131963404
2022-10,-0.08464069845313538
2022-11,-0.07163898518049516
2022-12,-0.1139758226835541
2023-01,1.0624728764848745
2023-02,-0.10221164077581069
2023-03,-0.17206489868445973
2023-04,-0.04564772153312868
2023-05,-0.07623724546651933
2023-06,0.11169553535714916
2023-07,-0.08018574482557517
2023-08,0.05238608091845287
2023-09,-0.04422814483371884
2023-10,0.3345342430063285
2023-11,0.2753255218890984
2023-12,0.2709838479608806
2024-01,0.20770069536530555
2024-02,-0.06195419888401288
2024-03,-0.0634729246951109
2024-04,-0.033724857047525925
2024-05,-0.11042821589582719
2024-06,-0.011201044061336707
2024-07,-0.07216484677449464
2024-08,-0.06653768756750289
2024-09,0.10082577320365482
2024-10,0.5845607510192297
2024-11,1.0490714028606094
2024-12,-0.04729277740343407
2025-01,-0.10891238093051892
2025-02,0.0034729701661870838
2025-03,-0.002770986141028442
2025-04,0.4256542575978095
2025-05,0.44486776900571146
2025-06,-0.0716526453784454
2025-07,0.28587605140311
2025-08,-0.03369521776818496
2025-09,-0.09321206688736039
2025-10,-0.06096457698474533
2025-11,0.12403176606237576
2025-12,-0.041797221285096775
2026-01,0.0038657532364858582
2026-02,0.08885785533679158
2026-03,-0.020836075148537914
2026-04,-0.07126303941170453
2026-05,-0.125408898515178
2026-06,0.1670955862974628
2026-07,-0.08579320664167289
2026-08,-0.09914931093798207
2026-09,-0.05277464596205128
