dt,equity
2020-06,-0.18764094596435454
2020-07,0.11096146488082925
2020-08,-0.30124420154500475
2020-09,-0.014412543444074166
2020-10,0.8711542534702681
2020-11,0.7644529874386066
2020-12,0.4630433718917253
2021-01,-0.36414237433109353
2021-02,0.505876844647742
2021-03,0.16600216878436824
2021-04,-0.11593480378088472
2021-05,-0.18143456087565069
2021-06,-0.0003443364090255363
2021-07,0.14086186480945684
2021-08,0.026713215819500924
2021-09,0.001071695296241293
2021-10,-0.000646331953899959
2021-11,-0.053834947814326184
2021-12,0.07789503567247014
2022-01,0.09455576948590227
2022-02,-0.19704490022555132
2022-03,0.0218924530361011
2022-04,-0.2446044310475437
2022-05,0.051108366391728666
2022-06,0.12230766306196661
2022-07,-0.11601301808056552
2022-08,0.10005433996891044
2022-09,-0.049959694812882316
2022-10,-0.19874688496446868
2022-11,0.034067104922104186
2022-12,-0.17665303142904942
2023-01,1.1041083564851957
2023-02,-0.12475885861768898
2023-03,0.07592738362913254
2023-04,-0.11393032588726759
2023-05,-0.2126039678858641
2023-06,0.1908873907874702
2023-07,0.014871768373397654
2023-08,0.05272614599336767
2023-09,-0.04349198762940343
2023-10,0.3594018676376336
2023-11,0.31821434755728784
2023-12,0.10149542158356706
2024-01,0.2510398615950895
2024-02,0.9009732979011209
2024-03,0.11406919905494561
2024-04,-0.21109478533538095
2024-05,-0.03649012291516052
2024-06,-0.04996770623535396
2024-07,0.14597637640464045
2024-08,-0.1577995577495538
2024-09,0.10314354124508918
2024-10,0.6495961168393238
2024-11,1.0731565573549404
2024-12,0.051531417092037124
2025-01,-0.19084513385728774
2025-02,-0.07447611822243749
2025-03,-0.014313651460693855
2025-04,0.42662936600218515
2025-05,0.23992537533840808
2025-06,-0.2553540336808039
2025-07,0.18299803244629143
2025-08,0.005319849988330239
2025-09,-0.2143021047774577
2025-10,-0.04800143922619737
2025-11,0.12617174784159557
2025-12,-0.05194606644279742
2026-01,-0.16871760103431055
2026-02,0.08895460927668353
2026-03,-0.022051715936210692
2026-04,0.061060364530460154
2026-05,-0.18723368103569404
2026-06,0.1678192078795464
2026-07,-0.36219468687811496
2026-08,0.13470499044733053
2026-09,0.2550825259580234
