dt,equity
2023-09,-0.00991031320000002
2023-10,0.35807263567035674
2023-11,0.3174602911279878
2023-12,0.10399271463782034
2024-01,0.27418010043421037
2024-02,-0.05111950205713123
2024-03,-0.04277214699516041
2024-04,-0.057819032307789175
2024-05,-0.07525311316607852
2024-06,-0.04851488782857283
2024-07,-0.07516622157212671
2024-08,-0.05421720111926165
2024-09,0.133608429937065
2024-10,0.6291619314365613
2024-11,1.0605127643696468
2024-12,-0.04755480585872918
2025-01,-0.06748633628042477
2025-02,-0.09191251838470083
2025-03,0.0
2025-04,0.45397192569397915
2025-05,0.2376849357616
2025-06,-0.04885008305640126
2025-07,0.2945014547411904
2025-08,-0.059314220112482996
2025-09,-0.043849831229177516
2025-10,-0.049195754400357616
2025-11,0.0
2025-12,0.0
2026-01,-0.06907607075674371
2026-02,0.0
2026-03,0.02663986980226296
2026-04,-0.051886786495666914
2026-05,-0.1186435389494731
2026-06,0.0
2026-07,-0.04550939660050746
2026-08,-0.06768166800093289
2026-09,-0.05275981546757913
